StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage, ,Q2,Q3,Q16,Q16_DO,blocknumber,FL_49_DO
11/18/2021 12:43,11/18/2021 12:45,IP Address,117.203.27.41,100,93,TRUE,11/18/2021 12:45,R_3oz1cmNmrzZuLS6,,,,,30.32200623,78.02999878,anonymous,EN,30-34,Female,"Master's degree, Ph.D, or higher",InstaPro with No Sharing feature ($1/month),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month),73,Treatment3
11/18/2021 12:44,11/18/2021 12:46,IP Address,71.112.190.29,100,82,TRUE,11/18/2021 12:46,R_51JLMlLQS9JGIVj,,,,,40.42359924,-79.98249817,anonymous,EN,20-24,Non-binary / third gender,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only features ($2/month),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month),47,Treatment2
11/18/2021 12:52,11/18/2021 12:54,IP Address,128.237.82.6,100,119,TRUE,11/18/2021 12:54,R_3JCMeOwETTUB4yT,,,,,40.44419861,-79.95570374,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),4,Treatment2
11/18/2021 12:50,11/18/2021 13:07,IP Address,73.79.137.172,100,1044,TRUE,11/18/2021 13:07,R_2ciqjEF1cl6Bbua,,,,,40.44419861,-79.95570374,anonymous,EN,25-29,Female,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month),71,Treatment3
11/18/2021 13:06,11/18/2021 13:08,IP Address,67.171.67.40,100,92,TRUE,11/18/2021 13:08,R_sX7J5pSqyoZB3WN,,,,,40.45210266,-79.92009735,anonymous,EN,30-34,Male,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month),48,Treatment1
11/18/2021 13:10,11/18/2021 13:14,IP Address,128.237.82.1,100,282,TRUE,11/18/2021 13:15,R_2fxk3mM0CIC2xlj,,,,,40.44419861,-79.95570374,anonymous,EN,30-34,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),81,
11/18/2021 11:24,11/18/2021 13:25,IP Address,71.60.36.180,100,7278,TRUE,11/18/2021 13:25,R_3EyR5ZaYWCw5ox7,,,,,40.94389343,-78.96880341,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month),58,Treatment3
11/18/2021 13:34,11/18/2021 13:35,IP Address,128.2.149.7,100,60,TRUE,11/18/2021 13:35,R_XS5oSFYjX1I0sJX,,,,,40.4394989,-79.94300079,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month),38,Treatment2
11/18/2021 13:41,11/18/2021 13:41,IP Address,174.242.35.6,100,24,TRUE,11/18/2021 13:41,R_2dmznyqogqufrby,,,,,40.54570007,-80.05079651,anonymous,EN,20-24,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month),29,Treatment1
11/18/2021 13:49,11/18/2021 13:50,IP Address,73.59.233.151,100,55,TRUE,11/18/2021 13:50,R_DNqcHrO46PriCrf,,,,,35.10040283,-90.02799988,anonymous,EN,30-34,Male,"Master's degree, Ph.D, or higher",InstaPro with No Sharing + Metadata Only features ($2/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),87,
11/18/2021 14:24,11/18/2021 14:26,IP Address,73.154.247.48,100,110,TRUE,11/18/2021 14:26,R_ul7DfWRbTNsOnbr,,,,,40.44419861,-79.95570374,anonymous,EN,20-24,Male,"Master's degree, Ph.D, or higher",InstaPro with No Sharing + Metadata Only features ($2/month),InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),99,
11/18/2021 14:37,11/18/2021 14:38,IP Address,97.70.184.253,100,95,TRUE,11/18/2021 14:38,R_b33mm75GOI9jIs1,,,,,42.46069336,-83.45819855,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month),62,Treatment1
11/18/2021 14:38,11/18/2021 14:39,IP Address,74.111.97.194,100,96,TRUE,11/18/2021 14:39,R_1eXWdgbUuQfQe7m,,,,,40.43240356,-79.92469788,anonymous,EN,30-34,Female,"Master's degree, Ph.D, or higher",InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),20,Treatment1
11/18/2021 14:50,11/18/2021 14:52,IP Address,204.195.168.170,100,164,TRUE,11/18/2021 14:52,R_3MxSKuHcGf4Fgdg,,,,,40.30529785,-78.95400238,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only features ($2/month),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month),60,Treatment3
11/18/2021 14:52,11/18/2021 14:53,IP Address,128.237.82.3,100,101,TRUE,11/18/2021 14:53,R_1n6nWEBR2MOzp3h,,,,,40.44419861,-79.95570374,anonymous,EN,20-24,Male,High school diploma,InstaPro with no add-ons (free),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free),2,Treatment3
11/18/2021 15:29,11/18/2021 15:31,IP Address,73.79.6.55,100,67,TRUE,11/18/2021 15:31,R_1IaDsoTLhQuNywd,,,,,40.47250366,-79.9108963,anonymous,EN,20-24,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month),47,Treatment2
11/18/2021 15:43,11/18/2021 15:44,IP Address,174.203.96.75,100,62,TRUE,11/18/2021 15:44,R_3QEJiAnPhwFDKOy,,,,,40.26919556,-80.16110229,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),23,Treatment1
11/18/2021 15:43,11/18/2021 15:44,IP Address,107.77.224.235,100,77,TRUE,11/18/2021 15:44,R_1P19YoQaNgjlCYt,,,,,40.82710266,-73.93589783,anonymous,EN,20-24,Male,High school diploma,,InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),2,Treatment2
11/18/2021 15:44,11/18/2021 15:45,IP Address,71.182.132.65,100,56,TRUE,11/18/2021 15:45,R_aaQkkHwVxw5HJ05,,,,,40.43240356,-79.92469788,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month),80,
11/18/2021 16:18,11/18/2021 16:19,IP Address,104.184.173.9,100,59,TRUE,11/18/2021 16:19,R_3fJAqIwKbbXATDX,,,,,41.5052948,-81.55660248,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),42,Treatment3
11/18/2021 16:32,11/18/2021 16:33,IP Address,128.237.82.3,100,47,TRUE,11/18/2021 16:33,R_3qI1fLFGcFOQpYB,,,,,40.44419861,-79.95570374,anonymous,EN,15-19,Male,High school diploma,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month),32,Treatment1
11/18/2021 16:42,11/18/2021 16:44,IP Address,104.184.173.9,100,106,TRUE,11/18/2021 16:44,R_bsfz6o66hfNPjON,,,,,41.5052948,-81.55660248,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free),74,Treatment1
11/18/2021 17:17,11/18/2021 17:18,IP Address,49.37.211.146,100,81,TRUE,11/18/2021 17:18,R_2aKoFKvG4bttqdp,,,,,12.89959717,80.22088623,anonymous,EN,30-34,Male,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),92,
11/18/2021 17:33,11/18/2021 17:34,IP Address,67.163.155.169,100,51,TRUE,11/18/2021 17:34,R_eVUvT0LHi6pfk7n,,,,,40.44880676,-79.99510193,anonymous,EN,25-29,Female,"Master's degree, Ph.D, or higher",InstaPro with No Sharing feature ($1/month),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month),69,Treatment2
11/18/2021 17:34,11/18/2021 17:34,IP Address,49.37.217.44,100,49,TRUE,11/18/2021 17:34,R_bIyUpu1gutwFkPL,,,,,12.89959717,80.22088623,anonymous,EN,20-24,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),34,Treatment2
11/18/2021 17:33,11/18/2021 17:35,IP Address,104.184.173.9,100,155,TRUE,11/18/2021 17:35,R_Tv0FannSnEZLOzn,,,,,41.5052948,-81.55660248,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only features ($2/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month),25,Treatment3
11/18/2021 17:37,11/18/2021 17:40,IP Address,142.255.90.89,100,190,TRUE,11/18/2021 17:40,R_1diOYLqIj4pARSr,,,,,40.64460754,-73.97429657,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),56,Treatment3
11/18/2021 17:41,11/18/2021 17:42,IP Address,106.197.119.85,100,40,TRUE,11/18/2021 17:42,R_1M0pPfcyuJMTvqK,,,,,11.66020203,78.15319824,anonymous,EN,20-24,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month),7,Treatment1
11/18/2021 17:52,11/18/2021 17:53,IP Address,103.130.91.107,100,55,TRUE,11/18/2021 17:53,R_e2wMsnR4Sv3ZOrT,,,,,11.01420593,76.99411011,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month),99,
11/18/2021 18:02,11/18/2021 18:03,IP Address,172.58.184.131,100,70,TRUE,11/18/2021 18:03,R_32UW9wWJ3XHsUKV,,,,,40.50239563,-79.9489975,anonymous,EN,25-29,Female,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month),52,Treatment2
11/18/2021 18:03,11/18/2021 18:05,IP Address,173.216.228.28,100,91,TRUE,11/18/2021 18:05,R_XB1k7A0IZpdp1SN,,,,,36.33120728,-92.37529755,anonymous,EN,30-34,Male,"Master's degree, Ph.D, or higher",InstaPro with No Sharing + Metadata Only features ($2/month),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month),8,Treatment3
11/18/2021 18:18,11/18/2021 18:21,IP Address,128.237.82.3,100,128,TRUE,11/18/2021 18:21,R_1qh5ooYhspafEPw,,,,,40.44419861,-79.95570374,anonymous,EN,15-19,Female,High school diploma,InstaPro with no add-ons (free),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month),60,Treatment1
11/18/2021 18:23,11/18/2021 18:24,IP Address,49.207.205.127,100,64,TRUE,11/18/2021 18:24,R_3rSZvSQjNGgZasi,,,,,12.96339417,77.58551025,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),24,Treatment2
11/18/2021 18:40,11/18/2021 18:42,IP Address,107.77.225.199,100,95,TRUE,11/18/2021 18:42,R_pxw4CG4KjqAlsVr,,,,,40.75030518,-74.00140381,anonymous,EN,25-29,Female,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),94,
11/18/2021 18:42,11/18/2021 18:43,IP Address,106.211.249.156,100,70,TRUE,11/18/2021 18:43,R_1BXZgxEUlKY540f,,,,,11.2203064,78.16629028,anonymous,EN,30-34,Male,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month),11,Treatment3
